DL/UL	time	frame	subF	slot	1stSym	symbol#	cellId	rnti	ccId	tbSize	mcs	rv	SINR(dB)	corrupt	TBler
DL	0.136589	13	6	2	1	4	1	1	0	4113	18	0	12.3225	0	0.00200585
UL	0.136643	13	6	2	5	3	1	1	0	3084	18	0	12.3225 	0	0.00167182
DL	0.136821	13	6	3	1	3	1	1	0	3084	18	0	12.3225	0	0.00167182
UL	0.136857	13	6	3	4	2	1	1	0	2058	18	0	12.3225 	0	0.00100343
DL	0.137089	13	7	0	1	4	1	1	0	4113	18	0	12.3225	0	0.00200585
UL	0.137125	13	7	0	5	2	1	1	0	2058	18	0	12.3225 	0	0.00100343
DL	0.137321	13	7	1	1	3	1	1	0	3084	18	0	12.3225	0	0.00167182
UL	0.137357	13	7	1	4	2	1	1	0	2058	18	0	12.3225 	0	0.00100343
DL	0.137589	13	7	2	1	4	1	1	0	4113	18	0	12.3225	0	0.00200585
UL	0.137643	13	7	2	5	3	1	1	0	3084	18	0	12.3225 	0	0.00167182
DL	0.137821	13	7	3	1	3	1	1	0	3084	18	0	12.3225	0	0.00167182
UL	0.137875	13	7	3	4	3	1	1	0	3084	18	0	12.3225 	0	0.00167182
DL	0.138089	13	8	0	1	4	1	1	0	4113	18	0	12.3225	0	0.00200585
UL	0.138143	13	8	0	5	3	1	1	0	3084	18	0	12.3225 	0	0.00167182
DL	0.138321	13	8	1	1	3	1	1	0	3084	18	0	12.3225	0	0.00167182
UL	0.138375	13	8	1	4	3	1	1	0	3084	18	0	12.3225 	0	0.00167182
DL	0.138589	13	8	2	1	4	1	1	0	4113	18	0	12.3225	0	0.00200585
UL	0.138643	13	8	2	5	3	1	1	0	3084	18	0	12.3225 	0	0.00167182
DL	0.138821	13	8	3	1	3	1	1	0	3084	18	0	12.3225	0	0.00167182
UL	0.138857	13	8	3	4	2	1	1	0	2058	18	0	12.3225 	0	0.00100343
DL	0.139089	13	9	0	1	4	1	1	0	4113	18	0	12.3225	0	0.00200585
UL	0.139125	13	9	0	5	2	1	1	0	2058	18	0	12.3225 	0	0.00100343
DL	0.139321	13	9	1	1	3	1	1	0	3084	18	0	12.3225	0	0.00167182
UL	0.139357	13	9	1	4	2	1	1	0	2058	18	0	12.3225 	0	0.00100343
DL	0.139589	13	9	2	1	4	1	1	0	4113	18	0	12.3225	0	0.00200585
UL	0.139643	13	9	2	5	3	1	1	0	3084	18	0	12.3225 	0	0.00167182
DL	0.139821	13	9	3	1	3	1	1	0	3084	18	0	12.3225	0	0.00167182
UL	0.139875	13	9	3	4	3	1	1	0	3084	18	0	12.3225 	0	0.00167182
DL	0.140089	14	0	0	1	4	1	1	0	4113	18	0	12.3225	0	0.00200585
UL	0.140143	14	0	0	5	3	1	1	0	3084	18	0	12.3225 	0	0.00167182
DL	0.140321	14	0	1	1	3	1	1	0	3084	18	0	12.3225	0	0.00167182
UL	0.140357	14	0	1	4	2	1	1	0	2058	18	0	12.3225 	0	0.00100343
DL	0.140589	14	0	2	1	4	1	1	0	4113	18	0	12.3225	0	0.00200585
UL	0.140625	14	0	2	5	2	1	1	0	2058	18	0	12.3225 	0	0.00100343
DL	0.140821	14	0	3	1	3	1	1	0	3084	18	0	12.3225	0	0.00167182
UL	0.140857	14	0	3	4	2	1	1	0	2058	18	0	12.3225 	0	0.00100343
DL	0.141089	14	1	0	1	4	1	1	0	4113	18	0	12.3225	0	0.00200585
UL	0.141143	14	1	0	5	3	1	1	0	3084	18	0	12.3225 	0	0.00167182
DL	0.141321	14	1	1	1	3	1	1	0	3084	18	0	12.3225	0	0.00167182
UL	0.141375	14	1	1	4	3	1	1	0	3084	18	0	12.3225 	0	0.00167182
DL	0.141589	14	1	2	1	4	1	1	0	4113	18	0	12.3225	0	0.00200585
UL	0.141643	14	1	2	5	3	1	1	0	3084	18	0	12.3225 	0	0.00167182
DL	0.141821	14	1	3	1	3	1	1	0	3084	18	0	12.3225	0	0.00167182
UL	0.141875	14	1	3	4	3	1	1	0	3084	18	0	12.3225 	0	0.00167182
DL	0.142089	14	2	0	1	4	1	1	0	4113	18	0	12.3225	0	0.00200585
UL	0.142143	14	2	0	5	3	1	1	0	3084	18	0	12.3225 	0	0.00167182
DL	0.142321	14	2	1	1	3	1	1	0	3084	18	0	12.3225	0	0.00167182
UL	0.142357	14	2	1	4	2	1	1	0	2058	18	0	12.3225 	0	0.00100343
DL	0.142589	14	2	2	1	4	1	1	0	4113	18	0	12.3225	0	0.00200585
UL	0.142625	14	2	2	5	2	1	1	0	2058	18	0	12.3225 	0	0.00100343
DL	0.142821	14	2	3	1	3	1	1	0	3084	18	0	12.3225	0	0.00167182
UL	0.142857	14	2	3	4	2	1	1	0	2058	18	0	12.3225 	0	0.00100343
DL	0.143089	14	3	0	1	4	1	1	0	4113	18	0	12.3225	0	0.00200585
UL	0.143143	14	3	0	5	3	1	1	0	3084	18	0	12.3225 	0	0.00167182
DL	0.143321	14	3	1	1	3	1	1	0	3084	18	0	12.3225	1	0.00167182
UL	0.143375	14	3	1	4	3	1	1	0	3084	18	0	12.3225 	0	0.00167182
DL	0.143589	14	3	2	1	4	1	1	0	4113	18	0	12.3225	0	0.00200585
UL	0.143643	14	3	2	5	3	1	1	0	3084	18	0	12.3225 	0	0.00167182
DL	0.143821	14	3	3	1	3	1	1	0	3084	18	0	12.3225	0	0.00167182
